titre,entreprise,lieu,lien,query,location,date_scrape
Data-Analyste (m/f/x),Travaillerpour.be / Werkenvoor.be,Saint-Josse-ten-Noode,https://be.indeed.com/rc/clk?jk=dadba39bcfcbe3b8&bb=0i9HGqYeTO3NsK5WmascBN86e1YN_YOwKXX9pq3TTnMQza0bfl1YXlYPXtsI2EWILKoyd9JDI-mKM83-PTg7uY-Dfw8RrQRUxVP7EGFLtN-KnSwcoCo_CbvxzawbKpPW&xkcb=SoD967M3kXtMjlzCDZ0LbzkdCdPP&fccid=325d7c89ae6752fe&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Data Analist (h/f/x),Fedasil HQ,1000 Bruxelles,https://be.indeed.com/rc/clk?jk=cc69992b491313de&bb=0i9HGqYeTO3NsK5WmascBKnUUcYfTIJ2kkVRSkJnIv__vr-8hJPgH6ks7PBdOMiJW__cqg4tp9qrpv6WwykUskobLpxPplEkTNLkdf5DXoDRKLNw_66hxaho5p9eyzIN&xkcb=SoBJ67M3kXtMjlzCDZ0KbzkdCdPP&fccid=6948a7bbab452a34&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Data Analyst - HQ Bruxelles,BNP Paribas Fortis,Bruxelles,https://be.indeed.com/rc/clk?jk=3c395bd0df4ebbb2&bb=0i9HGqYeTO3NsK5WmascBEeaK2X2PcjDkiVeszS1KUnboZ6y4zZOa-IpYlwxjybF10EvXyTZHNIN1zcIVoycp4ynv4UtPPwrznjhalAtxgAoGzSB_FQcmQUeJK2X1PVY&xkcb=SoDU67M3kXtMjlzCDZ0JbzkdCdPP&fccid=1392500f835bba92&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Data Analyst (H/F),Extia,1160 Bruxelles Auderghem,https://be.indeed.com/rc/clk?jk=f8f457a06de03c5d&bb=0i9HGqYeTO3NsK5WmascBOYYl-4MIFyfyzQ9eKHuc0CxuyAdGoGsDIbbsEQFi94DKHjEDFBTVwAYP-tkaslfju2VY9if4y18R9pR7V_BhqV_2GCWbOTXO6iqLYLgPhLK&xkcb=SoBg67M3kXtMjlzCDZ0IbzkdCdPP&fccid=51f8790ad48982e0&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Data Analyst,SPF Finances,Schaarbeek,https://be.indeed.com/rc/clk?jk=f5719035b7e6af97&bb=0i9HGqYeTO3NsK5WmascBOc0-YGZ3AtSLAZihz23MnYR8zrrpa0RKJP4pP9IuGdbxXvIXTRXOybI70fPaEHAMBQuDe7roKSxL2A2V-ZuYupkeKhu3xwF2q4ihdYA8PtK&xkcb=SoDu67M3kXtMjlzCDZ0PbzkdCdPP&fccid=9ec06fd843cfde0f&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Data Quality Analyst,Smals,Bruxelles,https://be.indeed.com/rc/clk?jk=f4627755309a5222&bb=0i9HGqYeTO3NsK5WmascBJBuN5oeLDsJqbiq0x4Ueh1Kyfxizi28JhCisAWdj2SNdogTtkTQbUIqTAmdLeOgeGbZRu2eEMYcAb78eyHRoDJhJDHoKIzmxgn8R155eNOm29H3TZA-qxY%3D&xkcb=SoBa67M3kXtMjlzCDZ0ObzkdCdPP&fccid=06d3cbc8540df2a6&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Data Analyst,Carrefour,1930 Zaventem,https://be.indeed.com/rc/clk?jk=39f37205f5d8295d&bb=0i9HGqYeTO3NsK5WmascBOz8-sJlItm9aEVJ1k3_QS3Hvz8-desY5EWffFdwNPBXEZO2kP1BbWwXyf6dLWOW-4gM1onblUNkfV0rXHIT99dp69bYvRnAaSwdoHTnpk9p&xkcb=SoDH67M3kXtMjlzCDZ0NbzkdCdPP&fccid=669350d87ae4a4a6&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Functional Data Analyst,Smals,Bruxelles,https://be.indeed.com/rc/clk?jk=c2d0989b929f4ce4&bb=0i9HGqYeTO3NsK5WmascBHSnryeiYenre40oZqaeUfANFtmTuHz6wjzK0gCfPtv6hpVP5soJEfU14odCS7lRtJBMt6Ats6EhgZNDYG4PoQxwgGuhZCylAdZZEwFR7ew5TtG4-Q6ZEWM%3D&xkcb=SoBz67M3kXtMjlzCDZ0MbzkdCdPP&fccid=06d3cbc8540df2a6&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
HR Data Analyst,Delhaize,Télétravail à Asse,https://be.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BVoitxMfDM4Cg43CFhNuK_pHhGdygZs_Zgr0DamRS3PHi-yVmindp4_0auNsock_EvA5EoeV_mizlwf9GZc3BPoDAVZCTwl10uHcaK48af-gkmEHoqnJ3rrrg7n23KpQVFqcajaWSQhRkKqPZPqn3deNYGr6DN-9pXcRXvniiJjnei56RIlaf5hiObKJX8w6-IUdV7_iG--3_FulNQiBS7WfX0hSBreTup9gn7VY-fLKmFTzV6j_A_XxxUHAIC08MBlihz4kQMVlJidIq0IK-TvLkBuyFXNSeysjBiYtYQAs0PHLZjZa6yiUxarOB4RSQnYj-NbJotK1hyUvTw476d1fLE2LQq59ndsD9xuTU76Ocm4TbJtjLczv1t3yNgVGaCxXDIcH2z6a8DHpsWPpR5zBU9RnB_0XrbpvAWh6LlNMAx0L5K3aQpo42h8r3GhurZv-wBGZlbsd1LEAgQMiXpTYPC_vOIPHfvwC1PXlB91H7mbrXIfdsCUAnxdsKBv8J6Ay3f3zJ-2nkJkp0kEms2jHO9NLoVnl6Dl27yZNn556hVdBt6Tpr6OGPrr4wXlU3jU6AlYEedxI7UL7r6Ak6k9Be_2MbLPr11w6mULme9jSbWGdQoDksU02SR0_AT_kaWo0keNGIYu1ZXXu09-PJVqEF7nnhwqSJ3Sz0t2QYn-cm_0yBUJ1nbL8v8EntNhKuhzEIZOSIidZPxLEz-pctVcyQHV6fKS84jw5yCGnXz59c-7JdWMYuc3d_gMf4eBT6hU6SIJLpF2I80QdYIwztc-vehyRm1nJQ5thRjUXLE05mHw6pfRZDEt2x6Oq_mRPNW5UCtvIYXUtyScI9F89D4b_LZlVbplxPmO6LKCArZVRMiTPM9VQVT4eHojxTQpC9H3viNlMTuiteS0OhqM2hHstEY27yTuF4bIewtAX8yzw==&xkcb=SoBu6_M3kXtMjlzCDZ0DbzkdCdPP&camk=f416UQcMBpCVH-3BRAnLtw==&p=8&fvj=0&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Data Analyst,skeyes,Steenokkerzeel,https://be.indeed.com/rc/clk?jk=f49090538378cb11&bb=0i9HGqYeTO3NsK5WmascBJBuN5oeLDsJes7P8WjsfvjZcZa0vE8_3qVsX_1JJdvQl6HM3-Oz4OzDYwGFLPprdLI3vTBFbryG342CmrfFukBtDg4tf31Bmw8Yt35p5kL8&xkcb=SoAu67M3kXtMjlzCDZ0CbzkdCdPP&fccid=72d4b72de2492726&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
